Método	Función	Corrida	Mejor Valor Global	Tiempo (s)
enjambre de particulas	Rosenbrock	1	7.03433672247588e-16	0.16556262969970703
enjambre de particulas	Rosenbrock	2	7.03433672247588e-16	0.2181234359741211
enjambre de particulas	Rosenbrock	3	7.03433672247588e-16	0.17754435539245605
enjambre de particulas	Rosenbrock	4	7.03433672247588e-16	0.22418427467346191
enjambre de particulas	Rosenbrock	5	7.03433672247588e-16	0.1035301685333252
enjambre de particulas	Rosenbrock	6	7.03433672247588e-16	0.12152934074401855
enjambre de particulas	Rosenbrock	7	7.03433672247588e-16	0.13453960418701172
enjambre de particulas	Rosenbrock	8	7.03433672247588e-16	0.1560821533203125
enjambre de particulas	Rosenbrock	9	7.03433672247588e-16	0.1415417194366455
enjambre de particulas	Rosenbrock	10	7.03433672247588e-16	0.16809844970703125
enjambre de particulas	Rastrigin	1	6.004086117172847e-13	0.14754819869995117
enjambre de particulas	Rastrigin	2	6.004086117172847e-13	0.1521141529083252
enjambre de particulas	Rastrigin	3	6.004086117172847e-13	0.13855552673339844
enjambre de particulas	Rastrigin	4	6.004086117172847e-13	0.1460723876953125
enjambre de particulas	Rastrigin	5	6.004086117172847e-13	0.12053871154785156
enjambre de particulas	Rastrigin	6	6.004086117172847e-13	0.09153270721435547
enjambre de particulas	Rastrigin	7	6.004086117172847e-13	0.11552739143371582
enjambre de particulas	Rastrigin	8	6.004086117172847e-13	0.11553835868835449
enjambre de particulas	Rastrigin	9	6.004086117172847e-13	0.09150934219360352
enjambre de particulas	Rastrigin	10	6.004086117172847e-13	0.08155512809753418
enjambre de particulas	Schwefel	1	236.87669468873423	0.07453751564025879
enjambre de particulas	Schwefel	2	118.43836074192768	0.06653285026550293
enjambre de particulas	Schwefel	3	118.43836007118352	0.0720052719116211
enjambre de particulas	Schwefel	4	118.43836006957281	0.06333303451538086
enjambre de particulas	Schwefel	5	2.545513461882365e-05	0.06415939331054688
enjambre de particulas	Schwefel	6	2.545513461882365e-05	0.0900123119354248
enjambre de particulas	Schwefel	7	2.545513461882365e-05	0.08452343940734863
enjambre de particulas	Schwefel	8	2.545513461882365e-05	0.08952784538269043
enjambre de particulas	Schwefel	9	2.54551341640763e-05	0.08853864669799805
enjambre de particulas	Schwefel	10	2.54551341640763e-05	0.09655094146728516
enjambre de particulas	Griewank	1	3.99485460800264e-06	0.24762296676635742
enjambre de particulas	Griewank	2	9.344906680697207e-07	0.20810365676879883
enjambre de particulas	Griewank	3	9.344906680697207e-07	0.21206927299499512
enjambre de particulas	Griewank	4	9.344906680697207e-07	0.177109956741333
enjambre de particulas	Griewank	5	9.344906680697207e-07	0.1485285758972168
enjambre de particulas	Griewank	6	9.344906680697207e-07	0.13357758522033691
enjambre de particulas	Griewank	7	9.344906680697207e-07	0.14953160285949707
enjambre de particulas	Griewank	8	9.344906680697207e-07	0.26465725898742676
enjambre de particulas	Griewank	9	9.344906680697207e-07	0.27112412452697754
enjambre de particulas	Griewank	10	9.344906680697207e-07	0.23460030555725098
enjambre de particulas	Goldstein_Price	1	3.0000000000001115	0.14754319190979004
enjambre de particulas	Goldstein_Price	2	3.0000000000001115	0.0825338363647461
enjambre de particulas	Goldstein_Price	3	3.0000000000001115	0.07952117919921875
enjambre de particulas	Goldstein_Price	4	3.0000000000001115	0.08058357238769531
enjambre de particulas	Goldstein_Price	5	3.0000000000001115	0.08053398132324219
enjambre de particulas	Goldstein_Price	6	3.0000000000001115	0.0730133056640625
enjambre de particulas	Goldstein_Price	7	3.0000000000001115	0.07252669334411621
enjambre de particulas	Goldstein_Price	8	3.0000000000001115	0.06953215599060059
enjambre de particulas	Goldstein_Price	9	3.0000000000000835	0.060011863708496094
enjambre de particulas	Goldstein_Price	10	3.0000000000000835	0.06113171577453613
enjambre de particulas	Camel_Six_Humps	1	-1.0316284533168287	0.049094200134277344
enjambre de particulas	Camel_Six_Humps	2	-1.0316284533168287	0.047991037368774414
enjambre de particulas	Camel_Six_Humps	3	-1.0316284534898772	0.04830741882324219
enjambre de particulas	Camel_Six_Humps	4	-1.0316284534898772	0.051001548767089844
enjambre de particulas	Camel_Six_Humps	5	-1.0316284534898772	0.08353638648986816
enjambre de particulas	Camel_Six_Humps	6	-1.0316284534898772	0.09854555130004883
enjambre de particulas	Camel_Six_Humps	7	-1.0316284534898772	0.08755016326904297
enjambre de particulas	Camel_Six_Humps	8	-1.0316284534898772	0.0775599479675293
enjambre de particulas	Camel_Six_Humps	9	-1.0316284534898772	0.08604907989501953
enjambre de particulas	Camel_Six_Humps	10	-1.0316284534898772	0.08252811431884766
evolucion diferencial	Rosenbrock	1	1.904473476078507e-11	1.3302884101867676
evolucion diferencial	Rosenbrock	2	1.904473476078507e-11	1.590641975402832
evolucion diferencial	Rosenbrock	3	1.904473476078507e-11	1.1385560035705566
evolucion diferencial	Rosenbrock	4	3.7887214004787436e-13	0.9081971645355225
evolucion diferencial	Rosenbrock	5	3.7887214004787436e-13	1.18306303024292
evolucion diferencial	Rosenbrock	6	3.7887214004787436e-13	1.9335668087005615
evolucion diferencial	Rosenbrock	7	3.7887214004787436e-13	1.712855339050293
evolucion diferencial	Rosenbrock	8	3.7887214004787436e-13	2.239818572998047
evolucion diferencial	Rosenbrock	9	2.7377334293756174e-13	1.741795539855957
evolucion diferencial	Rosenbrock	10	2.7377334293756174e-13	1.3878755569458008
evolucion diferencial	Rastrigin	1	2.3007373783912044e-11	1.1835389137268066
evolucion diferencial	Rastrigin	2	9.272582701669307e-13	0.9498491287231445
evolucion diferencial	Rastrigin	3	9.272582701669307e-13	1.2373285293579102
evolucion diferencial	Rastrigin	4	9.272582701669307e-13	1.1766610145568848
evolucion diferencial	Rastrigin	5	9.272582701669307e-13	1.023477554321289
evolucion diferencial	Rastrigin	6	9.272582701669307e-13	1.2360475063323975
evolucion diferencial	Rastrigin	7	9.272582701669307e-13	1.305283546447754
evolucion diferencial	Rastrigin	8	9.272582701669307e-13	1.0070102214813232
evolucion diferencial	Rastrigin	9	9.272582701669307e-13	1.0946834087371826
evolucion diferencial	Rastrigin	10	9.272582701669307e-13	1.27485990524292
evolucion diferencial	Schwefel	1	2.5455136210439377e-05	1.0884051322937012
evolucion diferencial	Schwefel	2	2.5455136210439377e-05	0.966547966003418
evolucion diferencial	Schwefel	3	2.545513257246057e-05	1.2205028533935547
evolucion diferencial	Schwefel	4	2.545513257246057e-05	1.490194320678711
evolucion diferencial	Schwefel	5	2.545513257246057e-05	0.8951303958892822
evolucion diferencial	Schwefel	6	2.545513257246057e-05	1.057950735092163
evolucion diferencial	Schwefel	7	2.545513257246057e-05	0.9928817749023438
evolucion diferencial	Schwefel	8	2.545513257246057e-05	0.938880205154419
evolucion diferencial	Schwefel	9	2.5455132458773733e-05	0.9863536357879639
evolucion diferencial	Schwefel	10	2.5455132458773733e-05	0.9152665138244629
evolucion diferencial	Griewank	1	0.00031153790244242696	1.2623496055603027
evolucion diferencial	Griewank	2	0.00024741828465413285	1.2168352603912354
evolucion diferencial	Griewank	3	0.00024741828465413285	1.2251265048980713
evolucion diferencial	Griewank	4	0.00024741828465413285	1.1157069206237793
evolucion diferencial	Griewank	5	0.00024741828465413285	1.2259483337402344
evolucion diferencial	Griewank	6	0.00024741828465413285	1.2232909202575684
evolucion diferencial	Griewank	7	0.00024741828465413285	1.172834873199463
evolucion diferencial	Griewank	8	0.00024741828465413285	1.1244111061096191
evolucion diferencial	Griewank	9	0.00024741828465413285	1.185699462890625
evolucion diferencial	Griewank	10	0.00024741828465413285	1.2141695022583008
evolucion diferencial	Goldstein_Price	1	3.000000000000014	0.88558030128479
evolucion diferencial	Goldstein_Price	2	3.000000000000014	0.9042963981628418
evolucion diferencial	Goldstein_Price	3	3.000000000000014	0.9922463893890381
evolucion diferencial	Goldstein_Price	4	3.000000000000014	0.8363463878631592
evolucion diferencial	Goldstein_Price	5	3.000000000000014	0.9707245826721191
evolucion diferencial	Goldstein_Price	6	3.000000000000014	0.8790814876556396
evolucion diferencial	Goldstein_Price	7	3.000000000000014	0.9610612392425537
evolucion diferencial	Goldstein_Price	8	3.000000000000014	0.9108023643493652
evolucion diferencial	Goldstein_Price	9	3.0000000000000013	0.8734378814697266
evolucion diferencial	Goldstein_Price	10	3.0000000000000013	0.9996805191040039
evolucion diferencial	Camel_Six_Humps	1	-1.031628453485808	0.8902449607849121
evolucion diferencial	Camel_Six_Humps	2	-1.0316284534898754	0.9561605453491211
evolucion diferencial	Camel_Six_Humps	3	-1.0316284534898754	0.8052759170532227
evolucion diferencial	Camel_Six_Humps	4	-1.0316284534898754	0.8595559597015381
evolucion diferencial	Camel_Six_Humps	5	-1.0316284534898754	0.9258120059967041
evolucion diferencial	Camel_Six_Humps	6	-1.0316284534898754	0.8403820991516113
evolucion diferencial	Camel_Six_Humps	7	-1.0316284534898754	0.8474829196929932
evolucion diferencial	Camel_Six_Humps	8	-1.0316284534898754	0.8093841075897217
evolucion diferencial	Camel_Six_Humps	9	-1.0316284534898754	0.8664035797119141
evolucion diferencial	Camel_Six_Humps	10	-1.0316284534898754	0.8193724155426025
algoritmo genetico	Rosenbrock	1	0.2083798625401861	0.08754086494445801
algoritmo genetico	Rosenbrock	2	0.2083798625401861	0.08253002166748047
algoritmo genetico	Rosenbrock	3	0.050879034959711314	0.0855398178100586
algoritmo genetico	Rosenbrock	4	0.050879034959711314	0.1015322208404541
algoritmo genetico	Rosenbrock	5	0.0012239799500448265	0.11453866958618164
algoritmo genetico	Rosenbrock	6	0.0010127561736460577	0.1045370101928711
algoritmo genetico	Rosenbrock	7	0.0010127561736460577	0.10553383827209473
algoritmo genetico	Rosenbrock	8	0.0010127561736460577	0.10453534126281738
algoritmo genetico	Rosenbrock	9	0.0010127561736460577	0.08523440361022949
algoritmo genetico	Rosenbrock	10	0.0010127561736460577	0.10053515434265137
algoritmo genetico	Rastrigin	1	0.9949728055333367	0.08052897453308105
algoritmo genetico	Rastrigin	2	0.9949728055333367	0.08501195907592773
algoritmo genetico	Rastrigin	3	0.9949728055333367	0.07951498031616211
algoritmo genetico	Rastrigin	4	0.01128078092685314	0.07453608512878418
algoritmo genetico	Rastrigin	5	0.01128078092685314	0.08953094482421875
algoritmo genetico	Rastrigin	6	0.01128078092685314	0.07653617858886719
algoritmo genetico	Rastrigin	7	0.00018152386875769366	0.07500958442687988
algoritmo genetico	Rastrigin	8	0.00018152386875769366	0.08152318000793457
algoritmo genetico	Rastrigin	9	0.00018152386875769366	0.08954477310180664
algoritmo genetico	Rastrigin	10	0.00018152386875769366	0.08553266525268555
algoritmo genetico	Schwefel	1	142.29614093796192	0.09353518486022949
algoritmo genetico	Schwefel	2	119.43213371736897	0.0895380973815918
algoritmo genetico	Schwefel	3	54.36281935790453	0.09453511238098145
algoritmo genetico	Schwefel	4	54.36281935790453	0.1005403995513916
algoritmo genetico	Schwefel	5	54.36281935790453	0.09652948379516602
algoritmo genetico	Schwefel	6	54.36281935790453	0.09453344345092773
algoritmo genetico	Schwefel	7	54.36281935790453	0.08101105690002441
algoritmo genetico	Schwefel	8	19.56141445304047	0.07452154159545898
algoritmo genetico	Schwefel	9	19.56141445304047	0.08148360252380371
algoritmo genetico	Schwefel	10	19.56141445304047	0.08953475952148438
algoritmo genetico	Griewank	1	1.348897856449558	0.09612488746643066
algoritmo genetico	Griewank	2	1.348897856449558	0.08953666687011719
algoritmo genetico	Griewank	3	1.348897856449558	0.09552741050720215
algoritmo genetico	Griewank	4	0.04690549840026792	0.10453462600708008
algoritmo genetico	Griewank	5	0.04690549840026792	0.1045377254486084
